benchmark	backend	target	metric	baseline	tolerance_pct	tolerance_abs
mem	c	mem-bench	MEMCPY-CYCLES	250000000	900	100000000
mem	c	mem-bench	MEMSET-CYCLES	250000000	900	100000000
mem	llvm	llvm-mem-bench	MEMCPY-CYCLES	350000000	900	100000000
mem	llvm	llvm-mem-bench	MEMSET-CYCLES	350000000	900	100000000
uaccess	c	uaccess-bench	UACCESS-TO-CYCLES	500000000	900	200000000
uaccess	c	uaccess-bench	UACCESS-FROM-CYCLES	500000000	900	200000000
uaccess	c	uaccess-bench	UACCESS-SMALL-CYCLES	250000000	900	100000000
uaccess	c	uaccess-bench	UACCESS-CYCLES	1000000000	900	300000000
uaccess	llvm	llvm-uaccess-bench	UACCESS-TO-CYCLES	700000000	900	200000000
uaccess	llvm	llvm-uaccess-bench	UACCESS-FROM-CYCLES	700000000	900	200000000
uaccess	llvm	llvm-uaccess-bench	UACCESS-SMALL-CYCLES	350000000	900	100000000
uaccess	llvm	llvm-uaccess-bench	UACCESS-CYCLES	1400000000	900	300000000
heap	c	heap-bench	HEAPFREE-CYCLES	5000000	900	1000000
heap	llvm	llvm-heap-bench	HEAPFREE-CYCLES	7500000	900	1000000
